stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
01/01/2020,4:14:00,India,F,56,20,White,Drunk Driving,Speeding,False,Frisk,Ticket,True,30+ Min,True,WB82MJ6171
01/01/2020,4:19:00,Canada,M,71,53,Black,Signal Violation,DUI,False,Vehicle Search,Arrest,True,0-15 Min,True,KA60SI3876
01/01/2020,4:22:00,Canada,F,72,23,Hispanic,Speeding,Seatbelt,True,Frisk,Ticket,False,30+ Min,True,GJ72ZP7972
01/01/2020,4:25:00,India,F,48,59,White,Drunk Driving,Signal,True,Vehicle Search,Warning,True,16-30 Min,True,DL65NT6558
01/01/2020,4:27:00,India,M,66,27,Hispanic,Seatbelt,Signal,False,Frisk,Warning,True,30+ Min,False,WB87EX7190
01/01/2020,4:28:00,USA,F,24,61,White,Signal Violation,Seatbelt,False,Frisk,Ticket,True,0-15 Min,False,MH38XN5395
01/01/2020,4:29:00,USA,M,50,41,Black,Drunk Driving,DUI,True,Vehicle Search,Ticket,False,16-30 Min,False,GJ61ST9539
01/01/2020,4:32:00,Canada,M,39,53,Asian,Signal Violation,Signal,True,Vehicle Search,Arrest,False,16-30 Min,False,WB62MN8164
01/01/2020,4:33:00,India,F,50,77,White,Seatbelt,Seatbelt,False,Vehicle Search,Warning,True,30+ Min,True,RJ51BO9704
01/01/2020,4:36:00,Canada,M,78,77,Black,Signal Violation,DUI,True,Vehicle Search,Ticket,False,0-15 Min,False,TN53CZ7203
01/01/2020,4:38:00,USA,M,53,65,Black,Speeding,DUI,True,Frisk,Ticket,True,0-15 Min,True,DL98VY4919
01/01/2020,4:41:00,India,M,72,27,Black,Speeding,Speeding,True,Vehicle Search,Ticket,True,30+ Min,True,DL97RO8146
01/01/2020,4:43:00,Canada,M,27,62,Asian,Speeding,Signal,False,Frisk,Ticket,False,16-30 Min,True,UP57YP8070
01/01/2020,4:49:00,India,F,64,75,Hispanic,Signal Violation,Speeding,False,Vehicle Search,Ticket,True,16-30 Min,True,GJ97RX3874
01/01/2020,5:02:00,India,M,75,48,Hispanic,Speeding,Signal,False,Frisk,Warning,False,30+ Min,True,DL53IW9847
01/01/2020,5:06:00,India,M,43,61,Asian,Drunk Driving,Seatbelt,False,Frisk,Warning,False,16-30 Min,True,RJ93NL9510
01/01/2020,5:07:00,USA,M,50,48,White,Speeding,DUI,False,Frisk,Arrest,False,30+ Min,False,TN33TJ9236
01/01/2020,5:10:00,Canada,F,80,44,Black,Seatbelt,Speeding,True,Frisk,Arrest,False,0-15 Min,False,DL42LK3340
01/01/2020,5:17:00,Canada,M,41,73,Hispanic,Speeding,Seatbelt,True,Frisk,Warning,False,30+ Min,False,UP96GJ4175
01/01/2020,5:25:00,Canada,M,22,55,Hispanic,Seatbelt,DUI,True,Vehicle Search,Warning,True,16-30 Min,False,UP21EI2271
01/01/2020,5:27:00,USA,F,74,54,White,Speeding,Seatbelt,True,Frisk,Ticket,True,16-30 Min,False,KA72HP4878
01/01/2020,5:29:00,Canada,M,22,74,Hispanic,Drunk Driving,Speeding,True,Frisk,Ticket,False,30+ Min,True,MH36DT1001
01/01/2020,5:30:00,Canada,M,60,65,White,Seatbelt,DUI,True,Frisk,Ticket,False,0-15 Min,False,RJ92NC6731
01/01/2020,5:35:00,Canada,M,66,52,Hispanic,Drunk Driving,Speeding,False,Frisk,Arrest,False,30+ Min,True,MH20EU5653
01/01/2020,5:39:00,USA,F,30,28,White,Speeding,Signal,False,Frisk,Warning,True,0-15 Min,True,UP28CQ2027
01/01/2020,5:41:00,USA,M,57,77,Hispanic,Drunk Driving,Speeding,True,Vehicle Search,Ticket,True,30+ Min,True,DL94NN8498
01/01/2020,5:47:00,Canada,M,30,53,White,Signal Violation,Signal,True,Frisk,Warning,False,30+ Min,True,WB43FR1163
01/01/2020,5:51:00,India,M,79,73,Hispanic,Drunk Driving,DUI,False,Frisk,Warning,False,16-30 Min,False,UP59BR8058
01/01/2020,5:54:00,Canada,F,41,24,Asian,Drunk Driving,Seatbelt,True,Vehicle Search,Arrest,True,16-30 Min,False,WB54EZ7632
01/01/2020,5:56:00,India,F,66,40,White,Speeding,Speeding,False,Vehicle Search,Warning,True,16-30 Min,True,GJ62MP8166
01/01/2020,5:57:00,India,M,24,73,White,Drunk Driving,Speeding,True,Vehicle Search,Warning,False,30+ Min,False,UP49JS7418
01/01/2020,5:59:00,USA,F,26,68,Black,Drunk Driving,DUI,False,Frisk,Arrest,False,0-15 Min,False,MH96FT8307
01/01/2020,6:01:00,Canada,F,45,34,Hispanic,Drunk Driving,Speeding,True,Vehicle Search,Warning,False,30+ Min,True,DL40EE6614
01/01/2020,6:11:00,USA,M,24,79,Hispanic,Speeding,DUI,False,Vehicle Search,Ticket,False,0-15 Min,False,KA44EQ2436
01/01/2020,6:14:00,USA,F,40,24,Asian,Speeding,DUI,False,Vehicle Search,Warning,True,0-15 Min,True,KA34AT4979
01/01/2020,6:16:00,India,M,52,34,White,Seatbelt,Seatbelt,True,Vehicle Search,Warning,False,0-15 Min,True,RJ16LR5884
01/01/2020,6:18:00,India,F,54,20,Asian,Seatbelt,Signal,False,Frisk,Arrest,False,16-30 Min,True,MH83BA7979
01/01/2020,6:29:00,India,M,70,22,Hispanic,Signal Violation,Seatbelt,True,Frisk,Ticket,False,16-30 Min,False,UP21YI6846
01/01/2020,6:33:00,Canada,F,39,25,Black,Drunk Driving,Speeding,True,Vehicle Search,Arrest,True,30+ Min,True,UP17ZC6870
01/01/2020,6:37:00,India,F,45,29,Black,Signal Violation,Speeding,False,Vehicle Search,Warning,True,30+ Min,True,UP56OQ5146
01/01/2020,6:38:00,USA,M,72,69,White,Seatbelt,DUI,True,Frisk,Warning,False,0-15 Min,True,DL19NV7703
01/01/2020,6:40:00,India,M,35,46,White,Seatbelt,Signal,False,Frisk,Arrest,False,30+ Min,True,DL87ML4048
01/01/2020,6:42:00,India,F,21,18,Hispanic,Seatbelt,Speeding,False,Vehicle Search,Arrest,True,0-15 Min,True,TN46AA1171
01/01/2020,6:43:00,USA,M,35,63,White,Speeding,Signal,False,Vehicle Search,Ticket,True,30+ Min,True,RJ88QF9853
01/01/2020,6:45:00,Canada,F,30,49,White,Speeding,Signal,False,Frisk,Ticket,True,16-30 Min,True,RJ88HZ5175
01/01/2020,6:47:00,India,M,69,26,Black,Drunk Driving,Speeding,False,Vehicle Search,Warning,True,30+ Min,True,WB19HX9809
01/01/2020,6:48:00,USA,M,75,56,Asian,Drunk Driving,Signal,True,Vehicle Search,Warning,False,0-15 Min,False,TN35LW1419
01/01/2020,6:49:00,Canada,F,36,27,Hispanic,Signal Violation,Seatbelt,True,Frisk,Arrest,False,30+ Min,True,WB78GA7472
01/01/2020,6:51:00,USA,F,50,78,White,Speeding,Speeding,False,Frisk,Arrest,True,16-30 Min,False,RJ10EV7353
01/01/2020,6:53:00,India,F,43,29,Hispanic,Seatbelt,Seatbelt,False,Frisk,Ticket,True,16-30 Min,True,TN36OS9491
01/01/2020,6:57:00,USA,F,31,67,Hispanic,Seatbelt,DUI,True,Vehicle Search,Warning,True,30+ Min,False,DL24OV1543
01/01/2020,6:59:00,Canada,F,26,31,Hispanic,Seatbelt,Speeding,True,Vehicle Search,Ticket,False,0-15 Min,True,MH98YY6658
01/01/2020,7:00:00,Canada,F,75,43,Black,Speeding,Seatbelt,False,Frisk,Arrest,True,0-15 Min,False,RJ66XQ3377
01/01/2020,7:02:00,Canada,F,39,43,Black,Speeding,Signal,False,Frisk,Ticket,False,30+ Min,True,UP37ON4423
01/01/2020,7:09:00,USA,F,45,48,Black,Seatbelt,Seatbelt,False,Frisk,Ticket,True,30+ Min,False,WB68DF6593
01/01/2020,7:10:00,USA,M,79,22,Black,Speeding,Seatbelt,False,Vehicle Search,Ticket,False,0-15 Min,True,DL71BB3636
01/01/2020,7:11:00,India,M,56,34,White,Seatbelt,DUI,True,Frisk,Warning,True,0-15 Min,True,RJ74HO4876
01/01/2020,7:19:00,Canada,F,61,24,Black,Signal Violation,Seatbelt,True,Vehicle Search,Ticket,True,0-15 Min,False,UP41IZ2457
01/01/2020,7:20:00,India,F,38,70,Asian,Signal Violation,Speeding,True,Vehicle Search,Arrest,False,16-30 Min,False,GJ47DD9569
01/01/2020,7:22:00,India,F,40,78,Asian,Speeding,DUI,True,Vehicle Search,Arrest,False,16-30 Min,True,TN44AL9653
01/01/2020,7:25:00,Canada,F,47,43,Hispanic,Signal Violation,Signal,True,Vehicle Search,Ticket,True,16-30 Min,False,MH20DT1321
01/01/2020,7:29:00,India,M,76,71,Asian,Speeding,Speeding,True,Frisk,Ticket,False,16-30 Min,True,KA81XZ3904
01/01/2020,7:32:00,Canada,F,55,66,Asian,Seatbelt,Speeding,False,Frisk,Ticket,False,30+ Min,False,UP69MH4559
01/01/2020,7:34:00,USA,F,71,43,Hispanic,Drunk Driving,DUI,False,Frisk,Warning,True,0-15 Min,True,DL44IU1255
01/01/2020,7:36:00,Canada,F,44,75,White,Drunk Driving,Signal,False,Frisk,Arrest,False,0-15 Min,True,KA64ZE9015
01/01/2020,7:37:00,India,M,33,42,Black,Seatbelt,Speeding,False,Vehicle Search,Warning,True,16-30 Min,True,TN31LI5051
01/01/2020,7:39:00,USA,M,65,18,White,Signal Violation,Signal,False,Frisk,Warning,True,16-30 Min,False,MH54DI8436
01/01/2020,7:40:00,USA,F,62,21,Asian,Speeding,Speeding,True,Vehicle Search,Arrest,False,30+ Min,True,DL60ZU8041
01/01/2020,7:47:00,India,M,51,67,Hispanic,Drunk Driving,Seatbelt,False,Vehicle Search,Ticket,True,30+ Min,False,GJ10AV4572
01/01/2020,7:48:00,Canada,M,41,24,White,Speeding,Speeding,False,Frisk,Ticket,False,16-30 Min,False,KA31TR8661
01/01/2020,7:51:00,India,F,68,79,Hispanic,Seatbelt,Seatbelt,True,Vehicle Search,Warning,False,0-15 Min,False,MH35VM4667
01/01/2020,7:52:00,USA,M,58,23,Hispanic,Speeding,DUI,True,Vehicle Search,Warning,True,30+ Min,True,WB73DI9560
01/01/2020,7:56:00,Canada,F,23,31,Asian,Seatbelt,Seatbelt,False,Vehicle Search,Ticket,False,16-30 Min,True,TN77JY6996
01/01/2020,7:57:00,Canada,F,22,52,Black,Speeding,Signal,True,Frisk,Warning,True,30+ Min,False,WB50NK8310
01/01/2020,7:58:00,USA,M,63,75,Black,Signal Violation,Seatbelt,False,Frisk,Ticket,False,0-15 Min,True,GJ72QJ5705
01/01/2020,8:00:00,USA,M,42,32,Black,Seatbelt,DUI,False,Frisk,Arrest,True,0-15 Min,True,TN31IM1925
01/01/2020,8:01:00,Canada,F,66,62,White,Drunk Driving,Speeding,True,Frisk,Arrest,True,16-30 Min,True,MH89KZ1130
01/01/2020,8:02:00,Canada,F,21,28,Hispanic,Drunk Driving,Signal,False,Frisk,Warning,True,30+ Min,True,MH74WR7730
01/01/2020,8:05:00,USA,M,37,55,Black,Seatbelt,DUI,True,Frisk,Warning,True,30+ Min,True,MH38PE1728
01/01/2020,8:09:00,India,F,57,73,Asian,Signal Violation,Signal,True,Vehicle Search,Arrest,False,0-15 Min,True,DL38RH9723
01/01/2020,8:11:00,Canada,F,56,79,Black,Seatbelt,Seatbelt,True,Vehicle Search,Arrest,True,0-15 Min,True,KA76II3670
01/01/2020,8:15:00,USA,M,52,67,Black,Seatbelt,Signal,False,Vehicle Search,Arrest,False,0-15 Min,False,DL37CK3012
01/01/2020,8:20:00,USA,F,68,33,Black,Seatbelt,Signal,False,Vehicle Search,Warning,True,16-30 Min,False,DL90FS4896
01/01/2020,8:23:00,India,F,65,49,Hispanic,Drunk Driving,Seatbelt,False,Vehicle Search,Warning,True,16-30 Min,False,DL28CX2972
01/01/2020,8:24:00,USA,M,58,35,Hispanic,Signal Violation,Seatbelt,False,Frisk,Arrest,False,0-15 Min,False,WB24KE2468
01/01/2020,8:25:00,USA,M,58,78,Hispanic,Signal Violation,DUI,True,Vehicle Search,Ticket,True,30+ Min,False,WB55FK5269
01/01/2020,8:26:00,Canada,M,25,57,Hispanic,Seatbelt,Speeding,True,Vehicle Search,Warning,True,16-30 Min,False,KA16XR4339
01/01/2020,8:28:00,Canada,F,77,65,Black,Signal Violation,Signal,False,Frisk,Arrest,True,30+ Min,False,MH51MR4671
01/01/2020,8:31:00,Canada,F,67,53,White,Drunk Driving,Seatbelt,True,Vehicle Search,Warning,True,16-30 Min,True,WB62CI8558
01/01/2020,8:33:00,USA,F,66,57,Black,Drunk Driving,Seatbelt,True,Vehicle Search,Ticket,False,16-30 Min,True,MH32XM3940
01/01/2020,8:38:00,India,F,76,37,Black,Seatbelt,Seatbelt,False,Frisk,Warning,False,16-30 Min,True,GJ44EP8929
01/01/2020,8:40:00,Canada,M,49,22,Black,Drunk Driving,Signal,False,Vehicle Search,Warning,False,0-15 Min,True,WB52TH9921
01/01/2020,8:45:00,USA,F,28,62,White,Speeding,Signal,True,Frisk,Ticket,True,30+ Min,False,TN38PG7089
01/01/2020,8:47:00,India,M,75,39,Asian,Signal Violation,Seatbelt,True,Vehicle Search,Warning,True,0-15 Min,True,MH76OS2456
